章节,章节标题,南京,北京,揚州,蘇州,杭州,濟南,湖州
第30回,天長縣同訪豪傑　賜書樓大醉高朋,21,0,0,0,0,0,0
第31回,杜少卿平居豪舉　婁煥文臨去遺言,4,2,0,0,0,0,0
第32回,杜少卿夫婦游山　遲衡山朋友議禮,22,0,0,0,0,0,0
第33回,議禮樂名流訪友　備弓旌天子招賢,15,0,2,0,0,0,0
第34回,聖天子求賢問道　莊徵君辭爵還家,18,7,6,0,0,0,0
第35回,常熟縣真儒降生　泰伯祠名賢主祭,27,3,0,2,0,0,0
第36回,祭先聖南京修禮　送孝子西蜀尋親,5,0,2,0,0,0,0
第37回,郭孝子深山遇虎　甘露僧狹路逢讎,6,5,0,0,0,0,0
第38回,蕭雲仙救難明月嶺　平少保奏凱青楓城,0,0,0,0,0,0,0
第39回,蕭雲仙廣武山賞雪　沈瓊枝利涉橋賣文,14,2,4,0,0,0,0
第40回,莊濯江話舊秦淮河　沈瓊枝押解江都縣,34,0,8,0,0,0,0
第41回,公子妓院說科場　家人苗疆報信息,14,0,5,0,0,0,0
第42回,野羊塘將軍大戰　歌舞地酋長劫營,0,0,0,0,0,0,0
第43回,湯總鎮成功歸故鄉　余明經把酒問葬事,7,0,10,0,0,0,0
第44回,敦友誼代兄受過　講堪輿回家葬親,25,0,0,2,0,0,0
第45回,三山門賢人餞別　五河縣勢利薰心,13,3,0,0,0,0,0
第46回,虞秀才重修元武閣　方鹽商大鬧節孝祠,3,0,2,0,0,0,0
第47回,徽州府烈婦殉夫　泰伯祠遺賢感舊,25,0,3,7,0,0,0
第48回,翰林高談龍虎榜　中書冒占鳳凰池,0,6,9,0,0,0,0
第49回,假官員當街出醜　真義氣代友求名,4,0,0,0,0,0,0
第50回,少婦騙人折風月　壯士高興試官刑,7,0,0,7,12,0,0
